26	0.19462645 -0.004982004 -0.17541558 0.02304567 -0.029807372 0.54267615 0.2384871 0.14486298 0.19568554 -0.32679802 -0.07640379 -0.15546568 0.0642457 -0.020857345 -0.21744156 0.44975534 -0.42083982 -0.092304975 -0.06326923 0.07083711 -0.11345136 0.19900182 -0.32312116 -0.10381611 0.3283838 -0.48281074 -0.45648742 0.27988362 0.19856888 0.19611707 -0.09638188 0.09700225 -0.06536052 -0.09621592 -0.1281218 0.06729068 -0.13916577 0.17154233 0.27012083 0.3295148 0.26055792 0.2548389 -0.4790532 -0.31594574 -0.32127523 -0.09166794 0.26927564 -0.33366346 0.16042797 0.49970746 0.2998241 0.6253221 -0.5024989 -0.05960671 0.12692446 0.30182728 -0.15987282 0.31024542 0.39167967 0.2547606 -0.7741841 0.3738457 0.37240693 -0.39237404
122	0.040420864 -0.46530843 -0.22467068 0.2374847 -0.14728938 -0.35095593 0.18699363 0.25564277 0.30787665 -0.0031852312 -0.06856638 0.51141894 -0.23225698 -0.5095012 -0.4338326 0.5235351 0.25404796 -0.0014434457 -0.38369367 0.24048275 -0.26426697 0.22084886 -0.40803736 0.36232686 -0.4859736 -0.27980837 -0.048957113 -0.2773127 -0.58181036 0.72863686 0.4695982 0.41888976 -0.5363857 0.36635324 -0.03848152 -0.3623345 0.13879152 -0.5649035 0.46821043 0.29804006 -0.118432425 0.51336735 0.14669645 -0.40039116 -0.22264835 0.094198465 0.46458057 -0.4507151 0.01937382 0.4306023 0.10942843 0.3842414 -0.316626 -0.073417224 0.026888192 -0.22547695 -0.42680886 -0.2408851 0.325113 -0.24874479 -0.31825942 0.13573727 -0.012942813 0.55275065
153	0.42385703 -0.26470664 -0.671219 0.71085536 -0.087039806 0.7767592 0.3733577 0.0664607 0.37578654 -0.40146452 0.49540132 0.14182155 0.22720131 -0.049895607 -0.61514014 0.5985177 -0.21779697 0.007585667 -0.08614343 0.25054923 -0.25378156 -0.2858854 -0.6477469 -0.55260754 -0.22403798 -0.30321336 -0.49567452 -0.33974656 0.068221286 0.026292104 0.03985186 0.31929183 -0.24068436 -0.1712326 0.29501468 0.29541373 -0.15930556 -0.16493703 0.1976638 0.21205871 -0.063950896 0.56127983 -0.24162012 -0.6394844 -0.45246384 -0.12758031 0.3142056 -0.533921 0.5428972 0.3107043 0.53007615 0.49044123 -0.5978878 0.11299636 0.27909622 -0.44789875 -0.55903614 0.39256814 0.6586359 0.05469866 0.008917406 0.52057004 0.5836715 -0.15241697
157	0.65825915 0.028941784 -0.45241994 0.20189433 -0.108704776 0.64213413 0.053561386 0.3358283 0.23588365 0.03955892 0.3245157 -0.23473288 0.5305214 -0.28243718 -0.36545256 0.26561123 -0.11256792 -0.110955074 -0.19829905 0.2266806 -0.198919 0.2371 -0.5421988 -0.32930037 -0.04531101 -0.41002056 -0.083093524 -0.41290104 -0.020285714 0.23181063 0.13529849 0.41191548 -0.08980332 -0.31794912 0.078219734 0.3045248 -0.19163503 -0.10870384 0.030196842 0.4631936 -0.13588959 0.48347664 0.35309225 -0.5447708 -0.075771496 -0.14612636 0.2016438 -0.03581053 0.15701374 0.3281997 0.2069331 0.30199626 -0.14766395 -0.19916762 0.25220755 -0.20288187 -0.47118777 0.23001252 0.35600308 0.06665735 -0.21768138 0.24741597 0.38532624 -0.27676386
256	-0.035312418 -0.15529102 0.1588408 -0.3711097 0.22731698 -0.38007483 0.15151726 -0.6636004 0.15215826 -0.24457256 0.23820856 0.20789087 -0.12371231 0.11954229 0.09711498 0.20917042 -0.11520286 -0.4676576 0.24951681 -0.17310387 -0.2800973 -0.15639964 0.15794677 -0.014272579 -0.18937118 -0.3325773 -0.11108792 0.35964027 -0.338402 0.46852976 -0.1293631 0.28805166 -0.5046377 -0.30979186 0.30928415 -0.10596718 -0.095354 -0.3542664 0.3723696 0.39541435 0.29356906 -0.018702682 -0.46161613 0.043566402 0.5071142 -0.00068937894 0.30877283 0.015278257 -0.3136992 0.1546744 0.09377829 0.23752183 0.014888592 -0.10261792 0.39928466 0.17637706 0.005111737 -0.034908976 -0.020801164 0.11302473 -0.04909396 0.31742612 0.03341389 0.491334
223	0.45750076 -0.44798315 -0.2994814 -0.031185709 -0.07241601 0.16331059 0.21354017 0.56025857 0.3034878 -0.027807472 0.47431803 0.249535 0.6332211 -0.29859492 -0.4177004 0.48076183 -0.29009926 -0.233091 -0.22935414 -0.15749753 -0.144319 0.1994102 -0.4299926 -0.6089841 0.553611 -0.5305541 -0.39123276 -0.61127985 -0.08695206 0.41005126 -0.023223631 0.55339694 -0.09154068 -0.59631556 0.60757345 0.21770029 0.125451 -0.27322286 0.46548226 0.8584512 0.18076767 0.27105618 0.1165881 -0.3799262 -0.04101382 0.24202791 0.4288812 -0.24154684 0.4100291 0.5998653 0.48546144 0.2981729 0.21656165 -0.6052924 0.28537932 -0.12868741 -0.39566782 0.49239713 0.3199581 0.49147987 -0.0013226494 0.42441455 0.6595156 0.031674303
195	0.6055462 -0.25368905 -0.3983171 0.46483773 -0.6517712 0.53966784 0.03903438 0.43154943 0.4442434 -0.16134983 0.4722058 -0.029322296 0.8117539 -0.5895066 -0.6797284 0.4219897 0.12915945 -0.228897 -0.6286628 0.32260448 0.022077076 0.37580365 -0.7222446 -0.7565778 -0.5480437 -0.7184051 0.20237868 -0.73401314 0.086550556 0.28340882 -0.0734674 0.5742382 -0.11584492 -0.5736652 0.2116021 0.27717108 -0.23656759 -0.80238307 0.63669693 0.15483175 -0.16851881 0.47855067 0.4748949 -0.6657407 0.034830615 -0.122578494 0.2554916 -0.5023596 0.270557 0.5277727 0.43138903 0.08559737 0.40918273 -0.5854498 -0.018337369 -0.76198184 -0.54322743 0.50260526 0.26796532 0.4910257 0.117280155 0.022122554 -0.09272896 -0.041214224
146	-0.2081508 -0.116319366 0.15079057 0.0050048064 0.25066432 -0.39936936 0.104411945 -0.021661026 0.18305948 -0.22044772 -0.13859114 0.3895419 -0.037354354 0.15958934 0.2385982 0.2790929 -0.30659652 -0.14342676 0.22536202 -0.03695468 -0.22799517 0.33126605 0.36571923 0.064049155 -0.18846105 -0.46381488 -0.38864642 0.41170448 -0.16472635 0.4428712 -0.31852505 -0.10160522 0.14670667 -0.24503407 0.44024152 -0.08047136 -0.12110408 -0.3212962 0.33414802 0.3824357 0.08835664 -0.17466305 -0.021128574 0.3131431 -0.14668645 0.26595372 0.3179648 -0.023197062 0.23841305 0.01579993 0.3614655 0.35484508 0.06128058 0.041202996 -0.030644067 0.11850437 0.24783696 -0.17014925 -0.027175639 0.10987394 -0.2971329 0.17425765 -0.09609929 0.23627366
254	0.37840903 -0.04260029 -0.22787157 0.29716146 0.22627392 -0.16778323 0.117981106 -0.052013934 0.16426411 0.023270816 -0.15229341 0.48080248 0.17991573 -0.37813127 -0.34728944 0.34506726 -0.07342005 -0.32197192 0.017699465 0.39835164 -0.5706779 -0.033413127 -0.37191084 -0.15075368 -0.7011797 -0.2511307 -0.0015916098 -0.29190597 -0.48840475 0.41782504 0.39850736 0.24413092 -0.44813883 0.22821696 0.39936447 -0.51844287 -0.4065442 -0.625026 0.53329366 -0.17609276 -0.3172345 0.30673715 0.32791454 -0.39440084 -0.17045724 -0.25386518 0.35740262 -0.7979919 0.05572319 -0.14541356 -0.35611036 0.3224047 0.20978525 -0.30752373 0.059202008 -0.36575565 -0.37915695 0.48239073 0.21940972 -0.17690921 -0.2964252 -0.352305 -0.022335663 0.27149585
258	0.6509917 -0.6792507 0.116220295 0.77177703 -0.7876057 -0.6809454 0.6544048 0.7069237 0.7399153 -0.5294255 0.25234282 0.3578226 0.39000088 -0.8214488 0.071352445 0.7159402 -0.2705341 -0.09156068 -0.5100308 0.83832777 -0.1937486 0.6953665 0.46361902 -0.5257153 -0.5749322 -0.8367532 -0.12544589 -0.5534818 -0.75765496 0.88137364 0.8765478 0.6507794 -0.4875592 -0.8914649 0.49881178 0.677292 -0.6546974 -0.38762808 0.47312832 0.5392965 0.7238052 -0.28891984 -0.018332437 0.3560819 -0.7331113 -0.08787037 0.6491672 -0.046163805 0.44057256 0.65684634 0.31642225 0.332368 -0.58299494 -0.8331605 0.4418398 -0.51332927 0.20016629 0.85089755 -0.2688296 0.42331886 -0.37638175 0.4154908 0.8621218 0.53183126
